site,OU,Plangrp,shift,Value
D,O5,O5_DART,17||2,3
D,O5,O5_DART,21||6,3
D,O5,O5_Primary,12||21,89
D,O5,O5_Primary,17||2,85
D,O5,O5_Primary,21||6,80
D,O6,O6_SDS_DRIVER_RECIPIENT,6||15,4
D,O7,FE_FLEX_PAYMENTS_NON_VOICE,12||21,6
D,O7,FE_FLEX_PAYMENTS_NON_VOICE,21||6,3
D,O7,FE_SDS_FLEX,15||0,4
D,O7,O7 CONSUMER,12||21,28
D,O7,O7 CONSUMER,14||23,15
D,O7,O7 CONSUMER,22||7,8
D,O7,O7 CONSUMER,6||15,23
D,O8,CS O8,11||20,4
D,O8,CS O8,12||21,2
D,O8,CS O8,13||22,3
D,O8,CS O8,14||23,4
D,O8,CS O8,15||0,67
D,O8,CS O8,17||2,8
D,O8,CS O8,19||4,5
D,O8,CS O8,21||6,2
D,O8,CS O8,6||15,11
D,O8,CS O8,7||16,1
D,O8,CS O8,9||18,2
D,O9,O4_FLEX_PAYMENTS_NON_VOICE,12||21,3
D,O9,O4_FLEX_PAYMENTS_NON_VOICE,21||6,1
D,O9,O4_SDS_HELPLO4E,12||21,5
D,O9,O4_SDS_HELPLO4E,21||6,5
D,O9,O4_SDS_HELPLO4E,6||15,4
D,O9,NA_FLEX_PAYMENTS_NON_VOICE,12||21,14
D,O9,NA_FLEX_PAYMENTS_NON_VOICE,21||6,16
D,O9,O9 D2 Chats,12||21,15
D,O9,O9 D2 Chats,15||0,9
D,O9,O9 D2 Chats,21||6,7
D,O9,O9 D2 Emails,12||21,5
D,O9,O9 D2 Emails,15||0,5
D,O9,O9 D2 Emails,23||8,9
D,O9,O9 D2 Emails,4||13,8
D,O9,O9 D2 P2P,12||21,4
D,O9,O9 D2 P2P,15||0,11
D,O9,O9 D2 P2P,19||4,9
D,O9,O9 D2 P2P,22||7,5
D,O9,O9 D2 P2P,6||15,3
D,O9,O9 D2 Phones,12||21,6
D,O9,O9 D2 Phones,14||23,9
D,O9,O9 D2 Phones,15||0,7
D,O9,O9 D2 Phones,19||4,4
D,O9,O9 D2 Phones,21||6,6
D,O9,O9 D2 Phones,6||15,4
D,O9,O9_DART,12||21,17
D,O9,O9_DART,14||23,8
D,O9,O9_DART,17||2,4
D,O9,O9_DART,19||4,2
D,O9,O9_DART,21||6,5
D,O9,O9_DART,23||8,2
D,O9,O9_DART,6||15,2
D,O9,O9_DART,8||17,1
D,O9,O9_ECR_T1,14||23,3
D,O9,O9_ECR_T1,15||0,4
D,O9,O9_HMD,12||21,7
D,O9,O9_HMD,14||23,6
D,O9,O9_HMD,17||2,3
D,O9,O9_HMD,21||6,6
D,O9,O9_PRIMARY,12||21,21
D,O9,O9_PRIMARY,14||23,11
D,O9,O9_PRIMARY,17||2,5
D,O9,O9_PRIMARY,21||6,15
D,O9,O9_PRIMARY,6||15,3
D,O9,O9_PRIME,11.5||20.5,9
D,O9,O9_PRIME,17||2,6
D,O9,O9_PRIME,19||4,9
D,O9,O9_PRIME,22||7,3
D,O9,O9_PRIME,6||15,3
D,O9,O9_SDS_CAP,10||19,3
D,O9,O9_SDS_CAP,12||21,6
D,O9,O9_SDS_CAP,14||23,5
D,O9,O9_SDS_CAP,15||0,1
D,O9,O9_SDS_CAP,17||2,4
D,O9,O9_SDS_CAP,21||6,7
D,O9,O9_SDS_CAP_CASE,12||21,3
D,O9,O9_SDS_CAP_CASE,15||0,4
D,O9,O9_SDS_CAP_CASE,21||6,6
D,O9,O9_SDS_CAP_CASE,6||15,3
D,O9,O9_SDS_CAP_ECM,10||19,2
D,O9,O9_SDS_CAP_ECM,12||21,12
D,O9,O9_SDS_CAP_ECM,13||22,1
D,O9,O9_SDS_CAP_ECM,14||23,15
D,O9,O9_SDS_CAP_ECM,15||0,30
D,O9,O9_SDS_CAP_ECM,17||2,8
D,O9,O9_SDS_CAP_ECM,19||4,3
D,O9,O9_SDS_CAP_ECM,21||6,16
D,O9,O9_SDS_CAP_ECM,22||7,5
D,O9,O9_SDS_CAP_ECM,6||15,7
D,O9,O9_SDS_CAP_ECM,8||17,2
D,O9,O9_SDS_DRIVER_RECIPIENT,11.5||20.5,6
D,O9,O9_SDS_DRIVER_RECIPIENT,14||23,14
D,O9,O9_SDS_DRIVER_RECIPIENT,14.5||23.5,5
D,O9,O9_SDS_DRIVER_RECIPIENT,21||6,16
D,O9,O9_SDS_DRIVER_RECIPIENT,6||15,6
D,O9,O9_SDS_ESCALATION,13||22,7
D,O9,O9_SDS_ESCALATION,20||5,7
D,O9,O9_SDS_FLEX,12||21,6
D,O9,O9_SDS_FLEX,15||0,2
D,O9,O9_SDS_FLEX,21||6,5
D,O9,O9_SDS_FLEX,6||15,4
D,O9,O9_SDS_FLEX,7||16,16
C,O8,CS O8,15||0,3
E,O1,O1_Consumer,10.5||19.5,47
E,O1,O1_Consumer,12||21,13
E,O1,O1_Consumer,15||0,16
E,O1,O1_Consumer,16.5||1.5,50
E,O1,O1_Consumer,17||2,2
E,O1,O1_Consumer,19||4,11
E,O1,O1_Consumer,22||7,2
E,O1,CS O8,10.5||19.5,6
E,O1,CS O8,15||0,2
E,O1,CS O8,16.5||1.5,5
E,O4,CS O8,10||19,1
E,O4,CS O8,12||21,1
E,O4,CS O8,13||22,2
E,O4,CS O8,15||0,4
E,O4,CS O8,17||2,1
E,O4,CS O8,6||15,1
E,O4,CS O8,8||17,3
E,O4,CS O8,9||18,4
E,O4,O4 D2,10||19,1
E,O4,O4 D2,12||21,8
E,O4,O4 D2,13||22,2
E,O4,O4 D2,15||0,18
E,O4,O4 D2,8||17,30
E,O4,O4 D2,9||18,12
E,O4,O4_AGS,12||21,3
E,O4,O4_AGS,15||0,15
E,O4,O4_AGS,8||17,13
E,O4,O4_AGS,9||18,18
E,O4,O4_B2B,10||19,19
E,O4,O4_B2B,12||21,28
E,O4,O4_B2B,13||22,20
E,O4,O4_B2B,15||0,61
E,O4,O4_B2B,17||2,2
E,O4,O4_B2B,6||15,4
E,O4,O4_B2B,8||17,37
E,O4,O4_B2B,9||18,65
E,O4,O4_CAP_CASE,12||21,2
E,O4,O4_CAP_CASE,13||22,2
E,O4,O4_CAP_CASE,21||6,1
E,O4,O4_CAP_CASE,6||15,2
E,O4,O4_CAP_CASE,9||18,2
E,O4,O4_Dart,10||19,4
E,O4,O4_Dart,12||21,16
E,O4,O4_Dart,15||0,16
E,O4,O4_Dart,17||2,18
